,address,state,baths,beds,list_price,is_foreclosure,latitude,longitude,CityName,CountyName,NeighborhoodName,ZipCodeName,StatusInactive,StatusActive,StatusPending,StatusPublicRecord,TypeCondo/Coop,TypeSingleFamilyResidential,TypeMulti Family,TypeOther,TypeTownhouse,TypeCondo/Co-op,TypeGarage
0,15701 Collins Ave #1803,FL,3.0,2.0,2450000.0,0,25.922,-80.1219,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
1,15901 COLLINS AV #2607,FL,3.0,3.0,1399000.0,0,25.9237,-80.1218,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
2,16385 biscayne #506,FL,2.0,2.0,450000.0,0,25.9297,-80.1528,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
3,16385 BISCAYNE BLVD #1002,FL,2.0,1.0,450000.0,0,25.9174,-80.1561,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
4,16385 Biscayne Blvd #1516,FL,2.0,2.0,675000.0,0,25.9461,-80.1472,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
5,16385 Biscayne Blvd #1607,FL,3.0,3.0,1225000.0,0,25.9189,-80.1558,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
6,16385 Biscayne Blvd #1621,FL,3.0,3.0,1100000.0,0,25.9297,-80.1528,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0
7,16385 Biscayne Blvd #PH-3,FL,2.0,2.0,870000.0,0,25.9174,-80.1561,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
8,16465 NE 22nd Avenue #120,FL,2.0,2.0,149900.0,0,25.9282,-80.155,1,2,1,1,1,0,0,0,1,0,0,0,0,0,0
9,16711 Collins #310,FL,3.0,2.0,1199000.0,0,25.9317,-80.1212,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
10,16901 COLLINS AV #1002,FL,3.0,2.0,3000000.0,0,25.9328,-80.1212,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
11,16901 Collins Av #2302,FL,3.0,2.0,3300000.0,0,25.9328,-80.1212,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
12,16901 COLLINS AV #802,FL,3.0,2.0,2950000.0,0,25.9329,-80.1212,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
13,16901 COLLINS AVE #2204,FL,2.0,1.0,2100000.0,0,25.9328,-80.1212,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
14,16901 COLLINS AVENUE #2605,FL,6.0,4.0,4890000.0,0,25.9328,-80.1212,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
15,17111 Biscayne Blvd #905-907,FL,4.0,4.0,3498000.0,0,25.7653,-80.1847,1,1,2,1,1,0,0,0,1,0,0,0,0,0,0
16,17141 Collins Ave #3902,FL,3.0,2.0,2990000.0,0,25.9349,-80.1211,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
18,17301 BISCAYNE BLVD #1004,FL,3.0,3.0,795000.0,0,25.9354,-80.1503,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
19,17301 Biscayne Blvd #2104,FL,3.0,2.0,749000.0,0,25.9342,-80.1496,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
20,17375  COLLINS AV #2304,FL,1.0,1.0,369990.0,0,25.937,-80.1206,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
21,17550 Collins Avenue #1005,FL,3.0,2.0,1840700.0,0,25.9389,-80.1219,1,3,1,1,0,1,0,0,1,0,0,0,0,0,0
22,17550 Collins Avenue #1205,FL,3.0,2.0,1924800.0,0,25.9389,-80.1219,1,3,1,1,0,1,0,0,1,0,0,0,0,0,0
23,17550 Collins Avenue #1604,FL,3.0,2.0,1695300.0,0,25.9389,-80.1219,1,3,1,1,0,1,0,0,1,0,0,0,0,0,0
24,17550 Collins Avenue #403,FL,3.0,2.0,1937000.0,0,25.9389,-80.1219,1,3,1,1,0,1,0,0,1,0,0,0,0,0,0
25,17550 Collins Avenue #701,FL,4.0,3.0,2343200.0,0,25.9389,-80.1219,1,3,1,1,0,1,0,0,1,0,0,0,0,0,0
26,17550 Collins Avenue #705,FL,3.0,2.0,1750000.0,0,25.9389,-80.1219,1,3,1,1,1,0,0,0,1,0,0,0,0,0,0
27,17890 W Dixie Hwy 104 Hwy #104,FL,2.0,2.0,154999.0,0,25.9413,-80.1507,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
28,18975 Collins Ave #2405,FL,3.0,2.0,1680000.0,0,25.9515,-80.1198,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
29,200 Sunny Isles Beach #3TS-2,FL,5.0,4.0,1500000.0,0,25.9297,-80.1239,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
30,2400 NE 184th St,FL,0.0,0.0,195000.0,0,25.9454,-80.1525,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0
31,2452 NE 184th St,FL,2.0,3.0,297000.0,0,25.9453,-80.1516,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0
32,2504 NE 184th St,FL,0.0,0.0,549900.0,0,25.9454,-80.1505,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0
33,2545 NE 182nd St #2545,FL,2.0,2.0,270000.0,0,25.9438,-80.1502,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
34,275 NE 18 St Ph -10,FL,2.0,2.0,349000.0,0,25.7939,-80.1897,1,3,3,1,1,0,0,0,1,0,0,0,0,0,0
35,3155 NE 184th St #8101,FL,1.0,1.0,238000.0,0,25.9475,-80.1373,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0
36,3360 NE 165th St,FL,3.0,4.0,2300000.0,0,25.9315,-80.1382,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0
37,3365 NE 167 ST,FL,3.0,4.0,2099000.0,0,25.9339,-80.1389,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0
38,3445 NE 167 ST,FL,3.0,4.0,1800000.0,0,25.9339,-80.1379,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0
39,3551 NE 169th St #411,FL,4.0,2.0,159500.0,0,25.936,-80.1366,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
40,3660 NE 166th Street #806,FL,2.0,1.0,149999.0,0,25.9326,-80.1348,1,2,1,1,1,0,0,0,0,0,0,1,0,0,0
41,3826 Northeast 171st St #1,FL,2.0,2.0,579000.0,0,25.9377,-80.1337,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0
42,400 Sunny Isles #1204,FL,3.0,3.0,780000.0,0,25.9289,-80.1288,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
43,400 Sunny Isles Blvd #618,FL,3.0,3.0,850000.0,0,25.9291,-80.128,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
44,999 SW 1st Ave #3316,FL,2.0,2.0,549000.0,0,25.7653,-80.195,1,1,2,1,1,0,0,0,1,0,0,0,0,0,0
45,10000 W Bay Harbor Dr #504,FL,3.0,2.0,515000.0,0,25.891,-80.1338,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0
46,1001 91st St #209,FL,2.0,2.0,325000.0,0,25.8822,-80.1302,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0
47,1001 91st St #602,FL,2.0,3.0,479000.0,0,25.8822,-80.1301,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0
48,10085 Bay Harbor Ter,FL,3.0,4.0,1250000.0,0,25.8913,-80.1317,1,1,1,2,1,0,0,0,0,0,0,0,1,0,0
49,10101 Collins Ave #7A,FL,4.0,3.0,4200000.0,0,25.8927,-80.1229,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0
50,10101 E Bay Harbor Dr #204,FL,2.0,2.0,530000.0,0,25.8914,-80.1307,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0
51,10101 E Bay Harbor Dr #709,FL,2.0,2.0,450000.0,0,25.8914,-80.1307,1,1,1,2,0,0,1,0,1,0,0,0,0,0,0
52,10101 W Bay Harbor Dr #6,FL,1.0,1.0,270000.0,0,25.8918,-80.1333,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0
53,10140 W Bay Harbor Dr #204D,FL,3.0,3.0,799000.0,0,25.8919,-80.1339,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0
54,10140 W Bay Harbor Dr #503C,FL,3.0,3.0,1145000.0,0,25.8919,-80.1339,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0
55,10140 W Bay Harbor Dr #601A,FL,2.0,2.0,599000.0,0,25.8919,-80.1338,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0
56,10155 Collins ave #1206,FL,3.0,3.0,2650000.0,0,25.8932,-80.1231,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0
57,10155 Collins Ave #207,FL,3.0,2.0,1295000.0,0,25.8933,-80.1231,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0
58,10155 Collins Ave #507,FL,3.0,3.0,2550000.0,0,25.8933,-80.1231,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0
59,10155 Collins Ave #703,FL,3.0,2.0,2500000.0,0,25.8932,-80.1234,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0
60,10175 Collins Ave #1106,FL,3.0,2.0,1900000.0,0,25.8938,-80.1231,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0
61,10175 Collins Ave #1506,FL,3.0,2.0,1500000.0,0,25.8938,-80.1231,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0
62,10175 Collins Ave #1703,FL,3.0,2.0,1979000.0,0,25.8938,-80.1231,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0
63,10175 Collins Ave #1707/1708,FL,6.0,4.0,3900000.0,0,25.8938,-80.1231,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0
64,10175 Collins Ave #701,FL,3.0,3.0,2298000.0,0,25.8938,-80.1231,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0
65,10175 Collins Ave #906,FL,3.0,2.0,1879000.0,0,25.8938,-80.1231,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0
66,10185 Collins Ave #1122,FL,2.0,1.0,499000.0,0,25.8944,-80.1232,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0
67,10185 Collins Ave #1204,FL,1.0,1.0,599000.0,0,25.8944,-80.1232,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0
68,10185 Collins Ave #1414,FL,2.0,1.0,528000.0,0,25.8943,-80.1232,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0
69,10185 Collins Ave #221,FL,1.0,1.0,375000.0,0,25.8943,-80.1232,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0
70,10185 Collins Ave #307,FL,2.0,2.0,500000.0,0,25.8944,-80.1232,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0
71,10185 Collins Ave #523,FL,2.0,1.0,360000.0,0,25.8944,-80.1232,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0
72,10185 Collins Ave #616,FL,2.0,2.0,669000.0,0,25.8944,-80.1232,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0
73,10185 Collins Ave #922,FL,2.0,1.0,489000.0,0,25.8943,-80.1232,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0
74,10185 Collins Ave #Penthouse 23,FL,2.0,1.0,599000.0,0,25.8943,-80.1232,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0
75,1020 94th St #203,FL,2.0,2.0,258500.0,0,25.8846,-80.1295,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0
76,10201 Collins Ave #604,FL,2.0,1.0,3290000.0,0,25.8952,-80.1232,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0
77,10201 Collins Ave #905,FL,3.0,2.0,3200000.0,0,25.8952,-80.1232,1,1,1,2,0,0,1,0,1,0,0,0,0,0,0
78,10201 E Bay Harbor Dr #607,FL,4.0,4.0,3400000.0,0,25.8927,-80.1309,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0
79,10201 E BAY HARBOUR #601,FL,4.0,4.0,3490000.0,0,25.8927,-80.1309,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0
80,10225 Collins Ave #1402,FL,3.0,4.0,3800000.0,0,25.8965,-80.1234,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0
81,10225 Collins Ave #404,FL,4.0,4.0,3500000.0,0,25.8965,-80.1234,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0
82,10225 Collins Ave #902,FL,6.0,4.0,4000000.0,0,25.8966,-80.1234,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0
83,10240 E Broadview Dr,FL,3.0,4.0,3600000.0,0,25.8922,-80.1353,1,1,1,2,1,0,0,0,0,1,0,0,0,0,0
84,1025 92nd St #304,FL,2.0,2.0,650000.0,0,25.8832,-80.1295,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0
85,1025 92nd St #405,FL,2.0,3.0,620000.0,0,25.8832,-80.1295,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0
86,1025 92nd St #501,FL,2.0,2.0,690000.0,0,25.8832,-80.1295,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0
87,1025 92nd St #601,FL,2.0,3.0,720000.0,0,25.8832,-80.1295,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0
88,1025 92nd St #702,FL,2.0,2.0,660000.0,0,25.8832,-80.1295,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0
89,10275 Collins Ave #1521,FL,2.0,2.0,1105000.0,0,25.8979,-80.1235,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0
90,10275 Collins Ave #1523,FL,2.0,2.0,1149000.0,0,25.898,-80.1235,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0
91,10275 Collins Ave #1527,FL,2.0,1.0,530000.0,0,25.898,-80.1235,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0
92,10275 Collins Ave #205,FL,1.0,0.0,575000.0,0,25.898,-80.1235,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0
93,10275 Collins Ave #226,FL,2.0,1.0,780000.0,0,25.8979,-80.1235,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0
94,10275 Collins Ave #428,FL,2.0,1.0,585000.0,0,25.898,-80.1235,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0
95,10275 Collins Ave #434,FL,2.0,2.0,1479000.0,0,25.898,-80.1235,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0
96,10275 Collins Ave #522,FL,2.0,2.0,1700000.0,0,25.898,-80.1235,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0
97,10275 Collins Ave #620,FL,2.0,2.0,1495000.0,0,25.898,-80.1235,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0
98,10275 Collins Ave #623,FL,2.0,2.0,949000.0,0,25.898,-80.1235,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0
99,10275 Collins Ave #703,FL,1.0,0.0,425000.0,0,25.898,-80.1235,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0
100,10275 Collins Ave #717,FL,2.0,2.0,1050000.0,0,25.898,-80.1235,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0
101,10275 Collins Ave #726,FL,2.0,1.0,725000.0,0,25.8979,-80.1235,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0
102,10275 Collins Ave #817,FL,2.0,2.0,875000.0,0,25.898,-80.1235,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0
103,10275 Collins Ave #820,FL,2.0,2.0,1095000.0,0,25.898,-80.1235,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0
104,10275 Collins Ave #917,FL,2.0,2.0,918000.0,0,25.898,-80.1235,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0
105,10275 Collins Ave #918,FL,2.0,2.0,1050000.0,0,25.898,-80.1235,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0
106,10275 Collins Ave #921,FL,2.0,2.0,1500000.0,0,25.898,-80.1235,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0
107,10295 COLLINS AV #603,FL,4.0,3.0,4200000.0,0,25.899,-80.1234,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0
108,10295 Collins Ave #2005,FL,3.0,3.0,3330000.0,0,25.8992,-80.1231,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0
109,10295 Collins Ave #506,FL,3.0,2.0,3650000.0,0,25.899,-80.1234,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0
110,10295 Collins Ave #910,FL,2.0,1.0,1500000.0,0,25.8992,-80.1231,1,1,1,2,0,0,1,0,0,0,0,1,0,0,0
111,10300 W Bay Harbor Dr #2C,FL,1.0,1.0,399999.0,0,25.8932,-80.1339,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0
112,10350 W Bay Harbor Dr #2K,FL,1.0,1.0,275000.0,0,25.894,-80.1336,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0
113,10350 W Bay Harbor Dr #4B,FL,1.0,1.0,425000.0,0,25.894,-80.1336,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0
114,10350 W Bay Harbor Dr #8H-8J,FL,3.0,4.0,1150000.0,0,25.894,-80.1336,1,1,1,2,0,0,1,0,1,0,0,0,0,0,0
115,10350 W Bay Harbor Dr #9AB,FL,3.0,3.0,1150000.0,0,25.894,-80.1336,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0
116,10350 W Bay Harbor Dr #9LM,FL,3.0,3.0,999999.0,0,25.894,-80.1336,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0
117,1065 98th St #10,FL,1.0,1.0,300000.0,0,25.889,-80.131,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0
118,1065 98th St #6,FL,2.0,2.0,349000.0,0,25.889,-80.131,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0
119,1075 92nd Street #404,FL,2.0,1.0,279900.0,0,25.8831,-80.1306,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0
120,1075 93rd St #203,FL,2.0,2.0,305000.0,0,25.8841,-80.1308,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0
121,1080 94th St #110,FL,2.0,1.0,310000.0,0,25.8846,-80.1305,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0
122,1080 94th St #406,FL,2.0,1.0,349500.0,0,25.8845,-80.1306,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0
123,1100 100th St #406,FL,3.0,2.0,859000.0,0,25.8903,-80.1317,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0
124,1120 102ND ST #2,FL,1.0,1.0,280000.0,0,25.8923,-80.1319,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0
125,1130 102nd St,FL,0.0,0.0,4795000.0,0,25.8923,-80.1322,1,1,1,2,1,0,0,0,0,0,1,0,0,0,0
126,1133 102nd St #707,FL,3.0,3.0,1000000.0,0,25.8927,-80.1322,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0
127,1135 103 St #404,FL,5.0,4.0,4967000.0,0,25.8848,-80.1315,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0
128,1150 101st St #502,FL,2.0,2.0,770000.0,0,25.8913,-80.1326,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0
129,1150 101st St #701,FL,3.0,3.0,1199000.0,0,25.8913,-80.1326,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0
130,1150 102nd St #501,FL,3.0,2.0,749000.0,0,25.8923,-80.1326,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0
131,1154 98th St #1154,FL,4.0,4.0,1375000.0,0,25.8884,-80.1327,1,1,1,2,1,0,0,0,0,0,0,0,1,0,0
132,1155 102nd St,FL,0.0,0.0,4250000.0,0,25.8928,-80.1327,1,1,1,2,1,0,0,0,0,0,1,0,0,0,0
133,1172 98th St #1172,FL,4.0,4.0,1680000.0,0,25.8884,-80.1327,1,1,1,2,0,1,0,0,0,0,0,0,1,0,0
134,70 Park Dr #6,FL,2.0,2.0,499000.0,0,25.8896,-80.1256,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0
135,8701 Collins Ave #1103,FL,2.0,1.0,2225000.0,0,25.8722,-80.1208,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0
136,8701 Collins Ave #304,FL,3.0,2.0,3295000.0,0,25.8721,-80.1219,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0
137,8701 Collins Ave #306,FL,3.0,2.0,3100000.0,0,25.8721,-80.1219,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0
138,8701 Collins Ave #503,FL,2.0,1.0,1900000.0,0,25.8722,-80.1208,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0
139,8701 Collins Ave #706,FL,3.0,2.0,4999000.0,0,25.8721,-80.1219,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0
140,8701 Collins Ave #805,FL,3.0,2.0,4250000.0,0,25.8721,-80.1219,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0
141,8701 Collins Ave #905,FL,3.0,2.0,4250000.0,0,25.8722,-80.1208,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0
142,8777 Collins Ave #610,FL,2.0,2.0,637000.0,0,25.8729,-80.1208,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0
143,9100 W Bay Harbor Dr #10B,FL,2.0,1.0,515000.0,0,25.8814,-80.1303,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0
144,9100 W Bay Harbor Dr #6D,FL,3.0,2.0,825000.0,0,25.8814,-80.1303,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0
145,1220  71st St #22,FL,2.0,1.0,135000.0,0,25.8542,-80.1319,1,3,1,3,1,0,0,0,1,0,0,0,0,0,0
146,1300 Cleveland Rd,FL,4.0,4.0,2450000.0,0,25.8644,-80.1308,1,1,1,3,1,0,0,0,0,1,0,0,0,0,0
147,1375  Daytonia Rd,FL,2.0,3.0,820000.0,0,25.8638,-80.1321,1,1,1,3,1,0,0,0,0,1,0,0,0,0,0
148,1375 Daytonia Rd,FL,2.0,3.0,922000.0,0,25.8638,-80.1321,1,3,1,3,1,0,0,0,0,1,0,0,0,0,0
149,1520  Stillwater Dr,FL,3.0,4.0,2500000.0,0,25.8688,-80.137,1,3,1,3,1,0,0,0,0,1,0,0,0,0,0
150,1831  Bay Dr,FL,3.0,3.0,1100000.0,0,25.8498,-80.1396,1,3,1,3,1,0,0,0,0,1,0,0,0,0,0
151,2160 Bay Drive #9,FL,1.0,1.0,180000.0,0,25.8521,-80.1447,1,1,1,3,1,0,0,0,1,0,0,0,0,0,0
152,335 S Biscayne Blvd #1207,FL,2.0,2.0,499000.0,0,25.7717,-80.1855,1,3,4,3,1,0,0,0,0,0,0,0,0,1,0
153,350 South Shore Dr #17,FL,1.0,1.0,189900.0,0,25.8572,-80.1336,1,3,1,3,1,0,0,0,1,0,0,0,0,0,0
154,410 S Shore Dr,FL,3.0,4.0,1295000.0,0,25.7458,-80.2137,1,1,5,3,1,0,0,0,0,1,0,0,0,0,0
155,6305 INDIAN CREEK #4G,FL,2.0,2.0,399900.0,0,25.8451,-80.121,1,1,1,3,1,0,0,0,1,0,0,0,0,0,0
156,6365 Collins Ave #2707,FL,2.0,2.0,854905.0,1,25.846,-80.1196,1,1,1,3,1,0,0,0,1,0,0,0,0,0,0
157,6422  Collins Ave #301,FL,2.0,2.0,460000.0,0,25.8465,-80.1207,1,1,1,3,1,0,0,0,1,0,0,0,0,0,0
158,6423  Collins Ave #205,FL,2.0,1.0,860000.0,0,25.8468,-80.1199,1,1,1,3,1,0,0,0,1,0,0,0,0,0,0
159,6444 Collins Ave #404,FL,2.0,1.0,244800.0,0,25.8471,-80.1207,1,1,1,3,1,0,0,0,1,0,0,0,0,0,0
160,6620 Indian Creek Dr #210,FL,4.0,3.0,799000.0,0,25.8501,-80.122,1,1,1,3,1,0,0,0,1,0,0,0,0,0,0
161,6620 Indian Creek Dr #419,FL,2.0,2.0,799000.0,0,25.8501,-80.122,1,1,1,3,1,0,0,0,1,0,0,0,0,0,0
162,6620 Indian Creek Dr #603,FL,2.0,1.0,670000.0,0,25.8501,-80.122,1,1,1,3,1,0,0,0,1,0,0,0,0,0,0
163,6770  Indian Creek Dr #4H,FL,1.0,1.0,299000.0,0,25.8516,-80.1227,1,3,1,3,1,0,0,0,1,0,0,0,0,0,0
164,6799 COLLINS AV #310,FL,2.0,2.0,519000.0,0,25.8525,-80.1197,1,1,1,3,1,0,0,0,1,0,0,0,0,0,0
165,6800 Indian Creek Drive #5D,FL,4.0,3.0,3300000.0,0,25.8524,-80.1232,1,1,1,3,0,1,0,0,1,0,0,0,0,0,0
166,6900  Bay Dr #3C,FL,1.0,1.0,149900.0,0,25.8542,-80.1272,1,1,1,3,1,0,0,0,1,0,0,0,0,0,0
167,6917  Collins Ave #815,FL,2.0,2.0,775000.0,0,25.8551,-80.12,1,3,1,3,1,0,0,0,1,0,0,0,0,0,0
168,7300 BYRON AVE 11,FL,1.0,1.0,174000.0,1,25.8586,-80.1237,1,3,1,3,1,0,0,0,1,0,0,0,0,0,0
169,7330 Ocean Terrace #2803,FL,2.0,2.0,1140000.0,0,25.8591,-80.1201,1,2,1,3,1,0,0,0,1,0,0,0,0,0,0
170,"7441 WAYNE AVENUE, #5L",FL,2.0,2.0,271000.0,1,25.8596,-80.1272,1,3,1,3,1,0,0,0,1,0,0,0,0,0,0
171,75 N Shore Dr. #75,FL,4.0,3.0,1125000.0,0,25.8587,-80.1294,1,1,1,3,1,0,0,0,0,0,0,0,1,0,0
172,7910 HARBOR ISLAND DR #807,FL,2.0,2.0,389900.0,0,25.8498,-80.1579,1,1,1,3,1,0,0,0,1,0,0,0,0,0,0
173,7928 EAST DR #1501,FL,2.0,2.0,499000.0,0,25.8527,-80.1578,1,1,1,3,1,0,0,0,1,0,0,0,0,0,0
174,7930  EAST DR #1005,FL,3.0,2.0,645000.0,0,25.8527,-80.1578,1,1,1,3,1,0,0,0,1,0,0,0,0,0,0
175,97 N Shore Dr,FL,4.0,3.0,1550000.0,0,25.8589,-80.1296,1,1,1,3,1,0,0,0,0,0,0,0,1,0,0
176,1021 W 46th St,FL,3.0,3.0,824900.0,0,25.8219,-80.1343,1,1,1,4,1,0,0,0,0,1,0,0,0,0,0
177,1300  Miami Ave #1601,FL,2.0,2.0,1100000.0,0,25.7871,-80.1943,1,3,6,4,1,0,0,0,1,0,0,0,0,0,0
178,1745 West 23 St,FL,5.0,4.0,2700000.0,0,25.7993,-80.1454,1,3,7,4,1,0,0,0,0,1,0,0,0,0,0
179,2263 SW 21st Terrace,FL,2.0,3.0,535000.0,0,25.7516,-80.2316,1,4,8,4,1,0,0,0,0,1,0,0,0,0,0
180,2901 Collins Ave #1408,FL,2.0,1.0,2044900.0,0,25.8052,-80.1242,1,1,7,4,1,0,0,0,1,0,0,0,0,0,0
181,3144  Sheridan Ave,FL,4.0,4.0,1295000.0,0,25.8083,-80.1292,1,3,7,4,1,0,0,0,0,1,0,0,0,0,0
183,3700 Royal Palm Ave,FL,2.0,4.0,1826000.0,1,25.8114,-80.1299,1,3,7,4,1,0,0,0,0,1,0,0,0,0,0
184,3900  ALTON RD #506,FL,4.0,3.0,1666000.0,0,25.812,-80.1358,1,3,7,4,1,0,0,0,1,0,0,0,0,0,0
185,4015 Indian Creek Dr #207,FL,1.0,1.0,153000.0,0,25.8128,-80.1239,1,1,7,4,1,0,0,0,1,0,0,0,0,0,0
186,4491  Prairie Ave,FL,2.0,3.0,995000.0,0,25.8189,-80.1296,1,3,1,4,1,0,0,0,0,1,0,0,0,0,0
187,4775  Collins Ave #PH4201,FL,3.0,3.0,2900000.0,0,25.8225,-80.1216,1,3,1,4,1,0,0,0,1,0,0,0,0,0,0
